title,doi,volume,date,year,month,abstract,issn,githubs-scraped
The influence of aggregation level and category construction on estimation quality for freight trip generation models,10.1016/j.tre.2018.07.007,121,2019-01-01,2019,1,"This paper analyzes the impacts of aggregation level and category construction on the relevance and quality of freight trip generation (FTG) models. More precisely, constant generations and functional form models are compared, as well as activity and activity-workforce categories. The paper proposes a method to compare constant generation and functional form models on different category classifications based on MAPE estimations. Functional forms are assessed via linear regression and compared using Pearson coefficient. Results show that the aggregation level has not always a positive impact on the model’s accuracy and the choice of suitable functional form leads to more accurate models.",1366-5545,Not found
Supply chain elements in freight transport modelling,10.1016/j.tre.2018.11.009,121,2019-01-01,2019,1,"This editorial introduces the papers of a special issue of the journal on freight transport modelling. Together, 9 papers present recent advances in 3 key areas of descriptive and predictive freight modelling: activity chaining, joint modelling of choices and segmentation of users. Next to a methodological contribution in one of these 3 areas, several papers also present empirical findings that are of broader relevance for different choice problems, industries and countries.",1366-5545,Not found
A disaggregate freight transport chain choice model for Europe,10.1016/j.tre.2018.10.004,121,2019-01-01,2019,1,"This paper presents the estimation of a discrete freight transport chain choice model for Europe, which was developed for the European Union as part of the Transtools 3 project. The model describes nine different multi- and single mode chain alternatives of which three can be either container or non-containerised, and it segments freight into dry bulk, liquid bulk, containers and general cargo. The model was estimated on the basis of disaggregate data at the shipment level (Swedish CFS and French ECHO data). Several transport costs specifications and nesting structures were tested and elasticities compared with reference literature. It was found that freight models are characterised by heterogeneity, non-linearity in transport costs and hence Value of Times and non-constant rates of substitution. Not taking these elements into account will have consequences for the evaluation of transport policies using the freight transport model.",1366-5545,Not found
"Joint mode and port choice for soy production in Buenos Aires province, Argentina",10.1016/j.tre.2018.04.010,121,2019-01-01,2019,1,"This study analyses the decision of port and mode choice of soy consolidators and producers from southern Buenos Aires province, Argentina. Nested logit models were estimated combining stated and revealed preference data. Estimations for Willingness to pay for one-day reduction in inventory, travel time, elasticities, iso-utility curves and hinterland were made. FAS (Free Alongside Ship) price, typically not considered, proved to be a relevant parameter in the mode-port choice. Other variables included were Service headway, freight price and travel time. Simulation results showed that reducing the train’s service headway and freight price are effective measures to encourage train demand.",1366-5545,Not found
Dynamic freight flow modelling for risk evaluation in food supply,10.1016/j.tre.2018.03.002,121,2019-01-01,2019,1,"This paper presents a calibrated dynamic multi-scale multi-regional input–output (MSMRIO) model of the German food supply system based on real data. The model comprises 51 commodity groups from farm to fork differentiating three different temperature ranges as well as living animals. Spatially, it works on an aggregate level of 402 regions within Germany as well as its 50 most important trading nations. It determines the commodity flows and the additionally needed transport capacity in case of disruptions. Showing how changes in production, inventories, sourcing, and consumption affect commodity flows, the model uncovers vulnerabilities and makes risk evaluation possible.",1366-5545,Not found
A machine learning approach for the operationalization of latent classes in a discrete shipment size choice model,10.1016/j.tre.2018.03.005,121,2019-01-01,2019,1,"This paper elaborates a novel approach for implementation of latent segments concerning behaviorally sensitive shipment size choice in strategic interregional freight transport models. Discrete shipment size choice models are estimated for different homogenous segments formed by latent class analysis. A machine learning technique called Bayesian classifier is applied to link segments obtained from a sample to data of commodity flows being available on a national level. Finally, in an exemplary scenario, the impact of information and communication technologies on shipment size distributions is calculated, revealing moderate elasticities and a predominant substitution of less than truck loads by full truck loads.",1366-5545,Not found
A joint hybrid model of the choices of container terminals and of dwell time,10.1016/j.tre.2017.12.005,121,2019-01-01,2019,1,"This study presents a joint discrete-discrete copula-based model that simultaneously estimates the determinants of the choice to use a container terminal and of the choice of dwell time. Moreover, this study proposes the treatment of missing information as a latent variable by specifying a hybrid version of the joint copula-based model. Model estimates show the practicality of enriching a dataset with missing information via a robust econometric solution. Results also illustrate the importance of distance, time-of-day, and industry type on the choice of using CTs and on the decision of the dwell time in both import and export container transport.",1366-5545,Not found
Entropy-based freight tour synthesis and the role of traffic count sampling,10.1016/j.tre.2017.10.010,121,2019-01-01,2019,1,"This paper describes a Freight Tour Synthesis (FTS) model designed to infer aggregate pick-up/delivery tour flows using secondary data, such as traffic counts and zonal freight trip generation estimates. The formulation combines an entropy maximization demand model together with the secondary data constraints. The entropy function is maximized subject to the system constraints to estimate the most likely freight tours that best fit the secondary data. To assess the role of traffic counts, the authors design four different heuristics to identify the locations of the traffic counts to be used in the estimation, and assess their performance under different scenarios of traffic counts availability.",1366-5545,Not found
Modelling change in supply-chain-structures and its effect on freight transport demand,10.1016/j.tre.2017.08.009,121,2019-01-01,2019,1,The paper introduces a model to determine possible impacts of changes in supply chain structures on freight transport demand. Examples are centralisation or vertical (des)integration within supply chains. The model first generates a population of establishments and commodity flows in space which is then manipulated according to different scenarios. It uses methods from transport planning and optimisation as well as scenario technique. To demonstrate its applicability a centralisation in food supply chain structures in Germany is analysed. The results show that a more educated discussion is needed for such changes since the range of possible impacts is large.,1366-5545,Not found
Assessing the impacts of collection-delivery points to individual's activity-travel patterns: A greener last mile alternative?,10.1016/j.tre.2017.08.007,121,2019-01-01,2019,1,"The transport impacts of collection-delivery points (CDPs), as an alternative to home delivery, are rarely studied. As e-shopping becomes increasingly popular, trips to collect deliveries at CDP, especially by car travel, may generate a considerable amount of external effects, such as emissions. Therefore, this paper analysed the “picking up/leaving goods” trips selected from the Swedish National Travel Survey and jointly modelled the individuals’ mode choice and trip chaining decisions using a panel cross-nested logit model. The roles of trip chain characteristics, individual socio-demographics and land use characteristics on each trip chain and mode choice combination are investigated. The results indicate observed and unobserved heterogeneities of trip chaining and mode choice decisions among populations. Young adults living with partners/spouses, single adults with children and partnered adults with children have the preference of using cars in collection-delivery trips compared to other life-cycle groups. A sensitivity analysis is carried out to estimate the effect of distance to CDPs on vehicle kilometres travelled. The calibrated model is used to estimate the VKT of collection-delivery trips in the greater Stockholm area. The results indicate a 22.5% reduction of VKT from collection-delivery trips by relocating 5% CDPs from urban areas to suburban and rural areas.",1366-5545,Not found
