title,doi,volume,date,year,month,abstract,issn,githubs-scraped
The impacts of varying survey design on reported trip satisfaction,10.1016/j.trf.2018.12.003,60,2019-01-01,2019,1,"Research has shown that the way in which a question is asked or the order in which it is received can influence the answer of respondents. Surveys are frequently used by transport professionals to better understand the psychology behind travelers’ level of satisfaction and derive policies. An awareness of how survey design impacts individuals’ responses to satisfaction-related questions is vital for any future policy analysis and development. This study uses travel data collected through a university travel survey, which was carried out during the fall and winter of 2017/2018, to examine the effects of seasonality, question wording, and question order on travel satisfaction. To test for question wording and seasonality, respondents were asked to rate their satisfaction with their last trip and satisfaction with their typical commute to work or school under either “warm and sunny” or “cold and snowy” conditions, depending on season of survey completion. To test the effect of question order, respondents were randomly assigned one of two survey versions in which the order of the two aforementioned trip satisfaction questions were switched. Our results confirm the presence of question order and wording effects on reported satisfaction levels, and to a lesser degree, differences in trip satisfaction due to seasonality. Results of this study highlight the need to practice caution when designing travel surveys, particularly with respect to how transport survey respondents are impacted by seasonality, question wording and order.",1369-8478,Not found
T-junction priority scheme and road user's yielding behavior,10.1016/j.trf.2018.12.009,60,2019-01-01,2019,1,"Four studies investigated yielding behavior in yield-controlled T-junctions that differed for two priority schemes. In one case road users in the intersecting arm had to give way to road users in the straight arm (priority to straight arm). In the other case road users in the straight arm had to give way to road users approaching from the intersecting arm (priority to intersecting arm). In two studies, yielding behavior was assessed with approaching speed and gaze behavior to the critical areas of the intersection. Two additional studies monitored road users’ speed and eye movements approaching the intersection. The results of the two behavioral studies showed a significant speed reduction and an increase of driver’s visual inspection to the intersection area in the priority-to-straight-arm condition in comparison to the priority-to-intersecting-arm condition. The eye movement analysis showed that total fixation time towards the intersection critical area and horizontal eye movements were significantly higher in the priority-to-straight-arm condition. The results emphasize the importance of considering perceptual affordances and expectations for priority in intersection design to increase drivers’ compliance to yielding rules.",1369-8478,Not found
"Observations of truck-bicycle encounters: A case study of conflicts and behaviour in Trondheim, Norway",10.1016/j.trf.2018.11.018,60,2019-01-01,2019,1,,1369-8478,Not found
Uncovering early adopter's perceptions and purchase intentions of automated vehicles: Insights from early adopters of electric vehicles in California,10.1016/j.trf.2018.11.010,60,2019-01-01,2019,1,"Research on vehicle automation is one of the most current topics in transportation. Some of the questions plaguing the research community include design, cost, and adoption. Many of these questions will remain unanswered until automated vehicles are available to the consumer. In this study, we use a sample of California new electric vehicle buyers to understand if and how current adopters of new vehicle technologies will adopt automated vehicles. We find that many respondents are interested in purchasing an automated vehicle but indicate that they only have average knowledge of the technology. Using an ordinal logit model, we model the interest in purchasing a fully-automated vehicle and find that younger men who purchase higher cost vehicles are more interested in purchasing a fully-automated vehicle. Above all else, those who perceive automated vehicles as being safer than non-automated vehicles have an interest in purchasing an automated vehicle.",1369-8478,Not found
Traffic safety education for child pedestrians: A randomized controlled trial with active learning approach to develop street-crossing behaviors,10.1016/j.trf.2018.10.021,60,2019-01-01,2019,1,"Child Pedestrians are among the most-at-risk populations for road traffic injuries. Our aim in the present study was to investigate the effectiveness of an active learning-based educational intervention on street-crossing behaviors of seven-year-old children. In this randomized controlled trial, 149 first-grade students were selected from two male elementary schools in Mehriz City, Iran, to participate in the study. The participants were randomly assigned into two experimental groups (n = 103, Active-Learning based training group [A.L] (n = 52) and Active-Learning based training with Parental Involvement group [P.I & A.L] (n = 51) and a control group (n = 46, without training group). The instructional program was based on active learning theory and parental involvement approach. Street-crossing behaviors of the students were assessed in an actual traffic environment in three phases: before training, one week after training, and six months after training. The behaviors of students in the experimental groups were significantly improved within one week, and later the six month time frames. Their performance was linearly improved by time (looking for vehicles on the street: F = 3.35P < 0.01; crossing from safe places: F = 10.5, P < 0.0001). No behavioral difference was found among the students in the control group. After six months, there was a better improvement (P = 0.0001) in the street-crossing behaviors of children in the P.I & A.L groups, compared to the A.L group. Our results confirmed the positive effects of active learning-based education with parental involvement approach on improving the street-crossing behaviors of 7-year-old children. Parental involvement is recommended as a useful strategy while designing active learning-based educational programs aiming at the improvement of street-crossing behaviors among school-aged children.",1369-8478,Not found
SeeMe at the crosswalk: Before-after study of a pedestrian crosswalk warning system,10.1016/j.trf.2018.11.003,60,2019-01-01,2019,1,"SeeMe is a pedestrian crosswalk warning system with automatic pedestrian detection that is mounted on crosswalk signs. Amber flashing lights are activated when pedestrians are approaching or crossing the crosswalk. The aim is to attract motorists’ attention, to improve yielding behavior and to reduce conflicts. A before-after study with a matched comparison group has been conducted in the Norwegian municipality of Trondheim. Video observations were made at eight crosswalks (four of which were equipped with SeeMe in the after period) of 1825 pedestrian-motorist interactions. On average, yielding rates at SeeMe equipped crosswalks increased by 14% (statistically significant) when changes at the comparison sites are taken into account. However, the results are inconsistent between crosswalks. At two of the crosswalks with SeeMe in the after period, yielding rates increased by 39% (statistically significant), while they decreased by 4% at the other two crosswalks (not statistically significant). There were several differences between crosswalks with increased and unchanged yielding rates: Initial yielding rates (below vs. above 80%), placement of crosswalk signs (immediately at vs. at some distance from the crosswalk) and false alarm rates (30% vs. 57% on average). These factors may have affected the effect of SeeMe on yielding rates, but the number of crosswalks included in the study is too small to generalize the differences between different types of crosswalks. The results do not indicate that SeeMe has negatively affected pedestrian behavior or provoked conflicts. It is concluded that SeeMe may be effective in increasing motorist yielding rates at crosswalks with similar characteristics as in the present study - two-lane roads in residential areas with moderate motor vehicle volumes and speed limits of 50 kph or below - and that high initial yielding rates and high rates of false alarms may limit its effectiveness.",1369-8478,Not found
The impact of music on vehicular performance: A meta-analysis,10.1016/j.trf.2018.10.007,60,2019-01-01,2019,1,"Various studies offer insightful perspectives on the potential impact of music-listening on driving performance. These studies, however, present conflicting views on the effect of music as either hindering or enhancing driving performance and advance inconclusive claims regarding how and to what extent specific music parameters affect vehicular performance. In this study, therefore, we conducted a systematic review and meta-analysis of relevant studies. First, we identified experimental studies that measured the effects of music-listening on driving performance through database searches using multiple variants including “car”, “driv*”, “perf*”, and “music*”; of the 118 publications reviewed, 12 met the inclusion criteria for the current meta-analysis. Second, we coded independent variables—i.e., tempo, volume, instrumentation, familiarity, musical style, the music’s source, and whether music was selected by the researchers or the drivers—and dependent variables—i.e., vehicular longitudinal and lateral control, driver reaction time, traffic signal violations, collisions, and driving scores. Third, we ran mixed-effects and random-effects models to identify both general tendencies and more particular trends related to the effect of music-listening on driving performance—driving performance is here understood as the combination of vehicle manipulation and road navigation. Consistent with anecdotal evidence, the results of this meta-analysis show that music-listening has a statistically significant detrimental effect on driving performance, specifically for collisions and longitudinal control. In contrast with anecdotal evidence, however, the results of this meta-analysis show a detrimental effect associated with music-listening at soft volumes and no significant difference in driving performance associated with tempo. The study’s findings contributed to the development of a process model, and the concluding discussion offers suggestions for future empirical investigations related to music and driving.",1369-8478,Not found
The role of car ownership in attitudes towards public transport: A comparative study of Guangzhou and Brisbane,10.1016/j.trf.2018.12.005,60,2019-01-01,2019,1,"Car ownership has often been linked to a strong commitment to car use and a tendency to undervalue alternative transport modes, thereby potentially biasing people away from using more environmentally friendly transport modes such as public transport. Although a considerable body of research has shed light on the attitudinal dimensions of car ownership and usage, few have investigated the potential influence of car ownership on attitudes towards alternative transport modes from an international comparative perspective. Across cities with distinct mobility cultures and economic backgrounds, car ownership may have differentiated influences on how people view various transport modes, yet little research exists in this area. This study aims to bridge this knowledge gap by investigating the relationship between car ownership and attitudes towards public transport in two vastly different metropolises, Guangzhou, China and Brisbane, Australia, while taking account of environmental concerns, past behaviour and socio-demographic characteristics. Drawing on two survey data sets, we derived measurements that directly compare the perceived difference between bus transit and cars, and constructed latent attitudinal variables based on loose-matching and strict-matching criteria to enable a more robust test of hypotheses. Using structural equation modelling (SEM), our analysis shows that car ownership appeared to contribute significantly to the perceived disparity between public transport services and car use in Guangzhou, but less so in Brisbane. Furthermore, environmental concerns were found to have a stronger influence on transport-mode attitudes in Brisbane. Recommendations are developed to inform local policies to promote more sustainable urban transportation.",1369-8478,Not found
Should I take over? Does system knowledge help drivers in making take-over decisions while driving a partially automated car?,10.1016/j.trf.2018.11.016,60,2019-01-01,2019,1,"Partially automated car systems are expected to soon become available to the public. However, in order for any of the potential benefits of automated driving to arise, the driver and car need to establish effective, efficient and satisfactory interactions. Otherwise, the driver may rely too much on the automated car system, leading to dangerous situations or not relying on the system at all, making the automation pointless. This study studied whether the current method of providing information on (automated) car systems to drivers, which is mainly through owner’s manuals, can bring the driver’s mental model in accordance with the car’s capabilities. A total of 28 participants took part in a video- based driving simulator experiment. The participants were split into two groups: the first received no information about the system while the second did receive specific information about functionalities and system limitations. Each participant was seated in a driving simulator and experienced a partially automated car driving in city situations by means of videos projected on the outer screen. Participants were asked to indicate through the push of a button on the steering wheel if they felt that the car could no longer cope with the situation, and would take back control from the car if they were driving it on the real road. Each video was categorized as ‘requires a take-over’ or ‘does not require a take-over’ before the experiment, based on the system descriptions the participants received. Overall, the system information did not appear to support the participants in correctly deciding whether to take over or to rely on the system. The mental models of the participants did not seem to (sufficiently) change through the system information. Owner’s manuals may not be sufficient for future systems to provide drivers the necessary tools to be able to decide whether it is necessary to take back control of the car. In-vehicle support, tuned to the driver and the specific situation may be needed to safely guide this process.",1369-8478,Not found
Can our phones keep us safe? A content analysis of smartphone applications to prevent mobile phone distracted driving,10.1016/j.trf.2018.11.017,60,2019-01-01,2019,1,"Mobile phone use while driving is a pervasive problem that continues to increase, notwithstanding the large crash risk this behaviour constitutes. A number of phone applications have been developed with the intention of utilising the technology to prevent dangerous phone behaviours while driving. Despite the potential these applications have in preventing crashes associated with distracted driving, research is yet to explore these emergent applications. Therefore, this study provided a review of the current smartphone applications developed to prevent distracted driving. A content analysis was conducted to identify the smartphone applications targeted at stopping, preventing or reducing phone use behaviour while driving. Their functionality was determined based on the ecosystem of smartphone applications: application-mobile phone interaction, application-driver interaction, and application-context interaction. A total of 29 relevant applications in English language were identified. Most of these applications focused on blocking specific phone functions (e.g. texting or calling) while allowing more desirable driving phone functions to be accessed (e.g. music applications and GPS functions). The specific functions which are blocked or allowed varied greatly between applications. Out of the different application interactions, the function which sends an automatic text message to a contact who texts the driver (associated with external communicator interactions) was the most common feature. A major limitation of the applications was their reliance on blocking specific phone functions as opposed to managing workload while driving or simplifying specific phone tasks to be more compatible with driving. Simply blocking phone functions may not be attractive to drivers who view their phone as a necessity. As such, these drivers are unlikely to use these voluntary applications at all while driving. Smartphone applications designed to prevent phone use while driving show potential for playing a large role in a systemic intervention to prevent mobile phone distracted driving, yet there is a substantial need for further development of these applications.",1369-8478,Not found
