title,doi,volume,date,year,month,abstract,issn,githubs-scraped
"The who, why, and when of Uber and other ride-hailing trips: An examination of a large sample household travel survey",10.1016/j.tra.2018.11.018,119,2019-01-01,2019,1,"Convenience and low prices have enabled ride-hailing companies, such as Uber and Lyft, to position themselves amongst the most valuable companies within the transportation sector. They now account for the lion share of activities in the platform economy and play an increasing role within our cities. Despite this, very little is known about the type of people that use them, nor the purpose and timing of trips. In addition to this, their effect on other modes, such as taxis and public transit, remains, for the most part, widely unexplored. By comparing the socioeconomic and trip characteristics of ride-hailing users to that of other mode users, we find ride-hailing to be a wealthy younger generation phenomenon. While our results show that ride-hailing is too minute and inconsequential to influence the ridership level of other more substantial modes of travel overall, when considering specific market segments, the rise of ride-hailing corresponds to a significant decrease in taxi ridership and a rise in active modes of travel. Moreover, due to the specific age, timing, and purpose of our subsample, we believe that ride-hailing may effectively reduce drunk-driving, and are convinced that as this mode increases in importance in the future, it will have a much more pronounced effect on the level of ridership of other modes as well.",0965-8564,Not found
Decomposition and attribution analysis of the transport sector's carbon dioxide intensity change in China,10.1016/j.tra.2018.12.001,119,2019-01-01,2019,1,"Understanding the factors driving changes in transport carbon dioxide (CO2) intensity and the contributions of different regions to each factor helps inform targeted emissions reduction policies. This paper provides a comprehensive approach, combining index decomposition analysis (IDA), production-theoretical decomposition analysis (PDA) and attribution analysis (AA), to decompose the changes in transport CO2 intensity into nine factors and identify the contributions of different regions to the individual factors. Energy-related and transport-related factors are considered simultaneously and some new factors are created to provide additional insights for exploring changes in transport CO2 intensity. An empirical study of the transport sector across 30 Chinese PARs (provincial administrative regions) resulted in three key findings. First, the effect of potential transport energy intensity and the effect of the economic output technology were the major drivers for the reduction in transport CO2 intensity, while the effect of potential transport intensity and the effect of energy utilization technology were the major factors that increased the transport CO2 intensity. Second, due to the diverse transport sector characteristics of the 30 PARs, their contributions to the four driving factors for the transport CO2 intensity mitigation varied. Third, specific policy implications in terms of energy conservation and transport management policy were proposed for the 30 PARs.",0965-8564,Not found
On the impact of vehicle automation on the value of travel time while performing work and leisure activities in a car: Theoretical insights and results from a stated preference survey,10.1016/j.tra.2018.11.016,119,2019-01-01,2019,1,"Many experts believe the transport system is about to change dramatically. This change is due to so-called fully-automated vehicles (AVs). However, at present, there are numerous important knowledge gaps that need to be solved for the successful integration of AVs in our transport systems, in particular regarding the impacts of AVs on travel demand. For instance, full automation will enable passengers to perform other, non-driving, related tasks while traveling to their destination. This may substantially change the way in which passengers experience traveling by car, and, in turn, may lead to considerable changes in the so-called Value of Travel Time (VOTT). Many experts anticipate the VOTT to decrease substantially due to AVs. However, the extent to which VOTT will change is currently far from clear. This study aims to develop new insights on the potential impacts of fully automated vehicles on the VOTT for commute trips. To do so, we first look at the existing microeconomics theory on the perceived VOTT and analyze the expected changes accrued from the effect of working and having leisure in an AV. We conclude that the VOTT of a work vehicle should be lower than what is experienced today in a conventional vehicle but the leisure one could stay the same. Then we conduct a stated choice experiment, specifically designed and administered for measuring the VOTT, and analyze these data using discrete choice models (DCMs). In total, we collected data from about 500 respondents. In the experiment, respondents were presented choice tasks consisting of three alternatives: an AV with office interior, an AV with leisure interior, and a conventional car. The same experiment was also given to another sample of respondents but this time describing a chauffeur-driven vehicle. Overall we find the average VOTT for an AV with an office interior (5.50€/h) to be lower than the VOTT for the conventional car (7.47€/h), however the AV with leisure interior is not found to decrease the value of time (8.17€/h) which confirms the theoretical results. The VOTT for the chauffeur experiment is systematically lower than for the AV experiment which we attribute to some distrust that people have regarding the AVs.",0965-8564,Not found
The causality of road traffic fatalities with its determinants in upper middle income countries: A continent-wide comparison,10.1016/j.tra.2018.12.002,119,2019-01-01,2019,1,"This study aims to compare the causality and elasticity of road traffic fatalities (RTF) with their determinants for upper middle income countries from three continents by using annual data from 1994 to 2016. Vector Error Correction Model revealed the long run causality of RTF (Asia, Europe, America), GDP (Asia), rainfall (Europe), and population density (Europe, America). Two-way short-run causality was established in three panels of UMICs between RTF and rainfall (Asia), RTF and GDP (Europe, America), and RTF and population density (America). Short-run uni-directional causal association was also observed from RTF to GDP (Asia), RTF to rainfall (Europe, America), RTF to population density (Asia, Europe), and health expenditures to RTF (Europe). A significant fall in RTF was observed due to 1% rise in the share of health expenditures in GDP in UMICs from Asia (0.267%), Europe (0.064%), and America (0.549%). The significant rise in RTF was0.180%, 0.241%, and 0.702%due to 1%increase in per capita GDP in Asia, Europe, and America. The road safety is reduced due to rainfall because the rise in RTF was 0.082%and 0.260%for 1% rise in the rainfall in Asia and America, respectively. The impact of population density was beneficial for the road safety because the decrease in RTF was 0.246%, 0.234%, and 0.977% for 1% rise in the population density in Asia, Europe, and America. The governments should make strict policies for traffic laws implementation. The government should allocate more budget for health sector expenditures. The governments should include traffic education as part of syllabus from primary to higher studies. Government should create awareness about the loss due to road crashes.",0965-8564,Not found
Identifying passengers’ needs in cabin interiors of high-speed rails in China using quality function deployment for improving passenger satisfaction,10.1016/j.tra.2018.12.004,119,2019-01-01,2019,1,"This study aims to propose a methodology for understanding the needs of passengers of the second-class cabins of high-speed rails (HSRs) in China. Addressing these needs is important to improve service quality and passenger satisfaction. We initially utilize the most important and also the first step of quality function deployment (QFD) to collect and organize data. Multiple methods, including scene deployment/gemba, social media analysis, and critical incident approach, are used to collect the voice of the customer (VOC). With aid of the VOC table (VOCT), the collected VOC is interpreted from passengers’ perspective and deployed as need items, which are grouped into passenger needs using the technique of affinity diagramming. To determine which of the passenger needs are important, we present the need items in a questionnaire in the form of pairwise comparison to obtain the opinion of frequent passengers. The collected responses are processed with the interval-valued analytic hierarchy process (AHP) to obtain the relative importance of the needs. Comfortable seat, sensory comfort, and proper luggage storage are identified as the major concerns of passengers. The obtained results should serve as valuable reference for planning and improving the design of cabin interiors and the quality of passenger service of HSRs in China. The study also provides a method for understanding customers’ needs related to the infrastructure and facilities of rails and those of other modes of public transportation.",0965-8564,Not found
Socio-structural and psychological factors behind car use: Comparing Northern and Eastern Europe,10.1016/j.tra.2018.12.007,119,2019-01-01,2019,1,"This study explores cross-cultural differences in car travel behaviour in a northern and an eastern European country, namely Sweden and Estonia. We assess the role of country-specific socio-structural circumstances, and the influence of individual motivations, including social values, perceived seriousness of environmental problems associated with car use, and car use reduction intentions, in shaping the frequency of car use for different purposes. The results show that compared to Swedish people, people in Estonia are more dependent on cars in their everyday travel. Our study shows that higher social position is associated with higher frequency of car trips in more stratified Estonian society, but not necessarily where socio-economic differences are less pronounced, as in Sweden. Regarding the relative significance of values and intentions next to socio-economic determinants, values and intentions have a greater explanatory power of car use frequency in Estonia, compared to Sweden. That values and preferences play a smaller role in car travel frequency in the socio-economically more secure Sweden, indicates that car travel is a basic habit, which is not easily discernible through individual values and attitudes in more affluent societies. Differences in car travel frequencies between the respondents from different settlement types in Estonian but no differences between settlement types in Sweden, shows that a country’s broader approach to managing the economic and social viability of its regions, may shape car travel needs and opportunities. The results of this study may have implications in terms of ways of curbing emissions from transportation in different parts of Europe.",0965-8564,Not found
The impact of including service quality into efficiency analysis: The case of franchising regional rail passenger serves in Germany,10.1016/j.tra.2018.11.019,119,2019-01-01,2019,1,"Based on a 12 years panel data set for franchised regional rail services, this paper studies the impact of including service quality into an analysis of efficiency differences between the German public transport authorities (PTAs) in using their available public funds. The analysis employs a two-stage efficiency analysis with a Data Envelopment Analysis (DEA) in the first stage and a Tobit panel model in the second stage. Both a base model with conventional output variables and a model which includes additional indicators of service quality provide robust results regarding the factors which explain efficiency differences between PTAs. PTAs with a higher share of tendering, a higher share of gross contracts and longer and smaller contracts were more efficient than others, with the effect being even stronger when including quality of service indicators. A further finding is the change of PTA’s ranking when including quality of service. Therefore, neglecting quality of service and restricting efficiency analysis to conventional output measures might result in misleading policies.",0965-8564,Not found
Measuring the value for money of transport infrastructure procurement; an intergenerational approach,10.1016/j.tra.2018.11.013,119,2019-01-01,2019,1,"Cost-benefit analysis is essential for decision-making in connection with major transport projects and integrated investment programmes. Projects of transport infrastructure have traditionally been publicly promoted and managed, but funded through both public and private sources. While budget allocations are always somehow present, the financing of the project may involve private participation, including user fees and loans of various types. Actually, management models involving private actors have been increasingly used in recent decades. The background supporting this trend is that private ingenuity and expertise in dealing with risk improves overall project efficiency enough to compensate for the additional expenditure generated by these models. In addition, the government promoting the investment may use private finance as a mechanism to place it off-budget. Current methods of project appraisal, in particular cost-benefit analysis, look at actions from the point of view of today’s society. Decision makers usually determine the financing formula after the decision to build has been adopted, which should ideally follow a positive conclusion on the efficiency of the project. But the financing formula has an impact across the successive generations of users and/or taxpayers that will end up footing the bill stemming from the investment. This paper actually highlights the importance of looking closely at the intergenerational effects of the adopted financing mechanism to ensure its fairness and convenience. It describes the outcomes obtained from the analysis of the intergenerational impacts performed with IREM –a model developed precisely to analyse these effects – to a set of urban public transport infrastructure projects. The IREM results show that public-private partnerships, although often entailing a substantial increase of the public expenditure linked to these projects compared to conventional procurement mechanisms, are typically better in terms of intergenerational fairness. This conclusion cannot be extended to all PPPs, as it depends on the alternative public sector funding, but it is a strong argument in favour of including in the Value for Money analysis of PPPs, besides the standard efficiency and financial considerations, an analysis of the intergenerational effects of the different procurement options and to compare these effects with those of the purely public financing alternative.",0965-8564,Not found
An incentive mechanism design for bus subsidy based on the route service level,10.1016/j.tra.2018.11.006,119,2019-01-01,2019,1,"The use of public transit subsidy has become a widely discussed aspect for the development of public transportation. The government uses the subsidy policy to offer incentives to improve the service levels and convenience of residents. This paper presents an incentive subsidy mechanism which is based on the service level of a bus line. The subsidy mechanism overcomes the problem of information asymmetry between public transport companies and the local government in the subsidy process, and thus reinforces that bus companies should provide efficient services on lines of different profitability levels. This paper provides the analytical results of the model and analyzes the optimal results. To broaden the scope of application of this model, this study also provides an example that explains how to regulate the bus company when quality reduction happened if the subsidy occurs at the beginning of the subsidy period. At last, management significance and policy recommendations are offered and possible directions for further research are explored.",0965-8564,Not found
Wage and tax competitiveness: The case of Hellenic shipping,10.1016/j.tra.2018.11.011,119,2019-01-01,2019,1,"Shipping and related activities account for a considerable proportion of Greek GDP, rendering proceeds from shipping sector activities indispensable for the Greek economy, especially during the ongoing economic crisis. This study focuses on the mitigating impact of wage regulation and tax uncertainty in Greece upon net receipts from shipping. Using quarterly data for 2002–2017 and employing the General Method of Moments, we find a substantially negative effect on net receipts from shipping as a result of waning wage competitiveness, with the tonnage tax-rate increase aggravating the problem. Our results point to two major policy conclusions: First, excessive wage increases over and above those provided for in international agreements erode the competitiveness of Greek shipping. Second, the pioneering tonnage-based taxation framework of Greece, which has contributed to securing Hellenic shipping a roughly 50% market share in the EU and 16.7% in the world, should by no means be challenged. Given the ease of relocation and the antagonistic fiscal incentives provided in rival shipping centers, the tonnage tax system must be left intact and even be used as a model to help boost the competitiveness of the entire EU fleet.",0965-8564,Not found
